month	category	country	had	lost	captured	provided
2022-01	Towed Artillery	ru	524
2022-01	Towed Artillery	ua	517
2022-01	Self-Propelled Artillery	ru	2521
2022-01	Self-Propelled Artillery	ua	634
2022-01	Multiple Launch Rocket System	ru	1114
2022-01	Multiple Launch Rocket System	ua	360
2022-01	Air Defense System	ru	2798
2022-01	Air Defense System	ua	403
2022-01	Warplane	ru	1214
2022-01	Warplane	ua	115
2022-01	Helicopter	ru	1455
2022-01	Helicopter	ua	126
2022-01	Tank	ru	3417
2022-01	Tank	ua	987
2022-01	Infantry Fighting Vehicle	ru	10851
2022-01	Infantry Fighting Vehicle	ua	1503
2022-02	Towed Artillery	ru		-4	0	
2022-02	Towed Artillery	ua		-2	2	
2022-02	Self-Propelled Artillery	ru		-5	2	
2022-02	Self-Propelled Artillery	ua		-5	2	
2022-02	Multiple Launch Rocket System	ru		-7	0	
2022-02	Multiple Launch Rocket System	ua		0	5	
2022-02	Air Defense System	ru		-13	0	
2022-02	Air Defense System	ua		-6	2	
2022-02	Warplane	ru		-3	0	
2022-02	Warplane	ua		-5	0	
2022-02	Helicopter	ru		-4	0	
2022-02	Helicopter	ua		0	0	
2022-02	Tank	ru		-41	1	
2022-02	Tank	ua		-15	11	
2022-02	Infantry Fighting Vehicle	ru		-43	3	
2022-02	Infantry Fighting Vehicle	ua		-18	10	
2022-03	Towed Artillery	ru		-42	10	
2022-03	Towed Artillery	ua		-23	26	
2022-03	Self-Propelled Artillery	ru		-59	5	
2022-03	Self-Propelled Artillery	ua		-14	23	
2022-03	Multiple Launch Rocket System	ru		-31	5	
2022-03	Multiple Launch Rocket System	ua		-10	12	
2022-03	Air Defense System	ru		-38	6	
2022-03	Air Defense System	ua		-28	12	
2022-03	Warplane	ru		-14	0	
2022-03	Warplane	ua		-7	0	
2022-03	Helicopter	ru		-31	0	
2022-03	Helicopter	ua		-2	0	
2022-03	Tank	ru		-311	42	
2022-03	Tank	ua		-74	133	
