country	month	Towed Artillery	Self-Propelled Artillery	Multiple Rocket Launchers	Self-Propelled Anti-Aircraft Guns	Surface-To-Air Missile Systems	Aircraft	Helicopters	Tanks	Infantry Fighting Vehicles
ru	2022-02	4	5	7	2	13	3	4	41	43
ua	2022-02	2	5	0	0	6	5	0	15	21
ru	2022-03	42	59	30	7	28	14	32	309	301
ua	2022-03	23	14	10	1	27	7	2	71	49
ru	2022-04	13	39	26	6	13	9	2	245	304
ua	2022-04	1	8	6	1	9	8	3	58	35
ru	2022-05	2	18	6	1	9	3	5	147	171
ua	2022-05	5	9	3	0	2	5	6	43	25
ru	2022-06	7	11	16	0	0	6	6	66	93
ua	2022-06	5	5	0	0	0	4	0	13	15
ru	2022-07	4	17	9	0	4	3	0	108	75
ua	2022-07	9	6	1	0	0	10	0	32	28
ru	2022-08	6	15	0	1	0	14	0	78	84
ua	2022-08	7	4	2	0	1	2	2	12	42
ru	2022-09	21	54	21	3	6	6	1	230	284
ua	2022-09	1	4	2	0	1	6	1	30	43
ru	2022-10	25	40	33	0	5	5	7	205	278
ua	2022-10	11	15	5	1	8	7	8	65	88
ru	2022-11	18	34	11	2	2	0	14	94	154
ua	2022-11	8	14	3	0	12	1	1	35	18
ru	2022-12	9	10	7	1	4	4	3	77	85
ua	2022-12	9	12	2	1	8	0	5	65	69
ru	2023-01	10	25	4	0	6	2	1	64	119
ua	2023-01	15	13	3	0	14	2	1	14	37
ru	2023-02	16	22	8	0	5	6	3	118	145
ua	2023-02	8	9	3	1	0	2	2	17	24
ru	2023-03	15	21	12	1	9	3	2	124	127
ua	2023-03	16	13	0	0	0	3	0	19	27
ru	2023-04	8	16	1	0	2	2	4	5	33
ua	2023-04	0	9	4	0	5	4	0	1	3
ru	2023-05	25	19	11	0	8	2	6	92	76
ua	2023-05	4	23	1	0	21	1	0	19	19
ru	2023-06	23	26	16	0	7	1	8	79	90
ua	2023-06	5	8	1	1	0	1	0	48	54
ru	2023-07	18	42	33	0	18	1	2	106	133
ua	2023-07	13	17	4	0	4	1	0	38	74
ru	2023-08	25	36	6	1	12	4	4	86	119
ua	2023-08	15	23	0	0	10	2	3	36	57
ru	2023-09	19	29	21	0	17	4	2	55	103
ua	2023-09	3	11	0	1	0	2	3	25	37
ru	2023-10	19	47	23	0	7	1	26	110	160
ua	2023-10	6	16	0	1	1	4	0	32	15
ru	2023-11	2	23	14	0	12	1	0	71	91
ua	2023-11	4	14	0	0	0	1	0	5	6
